# part_number, description, eprom_sku, longtech_sku, asi_sku, allway_sku, tigerdirect_sku, memex_sku, ncix_sku, wtcr_sku, category_id, nid, autoupdate
'SDCX10/64GB', 'Kingston 64GB Micro SDXC Class 10 Memory Card', 'MM-KIN-SDCX10-64GB', '', '', '', 'K24-7777', 'MX43629', '', 'MEM-KMS64-01', '50', '942', '1'
'SDSSDP-064G-G25', 'SanDisk 64GB SSD SATA3', '', '', '', '', '', 'MX41197', '', 'SSD-S064G-01', '127', '1186', '1'
'SGB-3010-KKMF1-US', 'Cooler Master', 'KB-CM-SGB3010KKMF1', '', '', '', 'JOO-102228840', 'MX46570', '', 'KBD-CDEVC-01', '50', '1295', '1'
'SGM-2000-MLON1', 'Cooler Master', 'MO-CM-SGM2000MLON1', '', '', '', 'C283-2067', 'MX34190', '', 'MOU-CSTSP-01', '50', '1315', '1'
'SGM-4001-KLLW1', 'Cooler Master', 'MO-CM-SGM4001KLLW1', '', '', '', 'C283-5018', 'MX41803', '', 'MOU-CSTRE-01', '50', '1314', '1'
'SP-1000M', 'Thermaltake Smart M1000W ATX', '', '', '', '', '', '', '', 'PWR-TM100-01', '30', '1148', '1'
'SSDSC2BW120A401', 'Intel 530 Series 120GB SSD SATA3', 'SD-SSDSC2BW120A401', '', '', '', '', 'MX48952', '', 'SSD-I5312-01', '127', '1356', '1'
'SSDSC2BW240A401', 'Intel 530 Series 240GB SSD SATA3', 'SD-SSDSC2BW240A401', '', '', '', '', 'MX47327', '', 'SSD-I5324-01', '127', '1052', '1'
'ST1000DM003', 'Seagate Barracuda 1TB 7200RPM SATA3', 'HD-I-ST1000DM003', '', '118169', '', 'TSD-1000AS7', 'MX36523', '', 'HDD-S1000-04', '28', '776', '1'
'ST2000DM001', 'Seagate Barracuda 2TB 7200RPM SATA3', 'HD-I-ST2000DM001', '', '119546', '', 'TSD-2000AS4', 'MX36934', '', 'HDD-S2000-01', '28', '777', '1'
'ST3000DM001', 'Seagate Barracuda 3TB 7200RPM SATA3', 'HD-I-ST3000DM001', '', '118783', '', 'TSD-3000AS2', 'MX36849', '', 'HDD-S3000-01', '28', '775', '1'
'ST3160815AS', 'Seagate Barracuda 160GB 7200RPM SATA2', '', '', '', '', 'TSD-160AS5', '', '', 'HDD-S0160-01', '28', '944', '1'
'ST500DM002', 'Seagate Barracuda 500GB 7200RPM SATA3', 'HD-I-ST500DM002', '', '115255', '', 'TSD-500ST', 'MX35469', '', 'HDD-S0500-05', '28', NULL, '1'
'SY-ADA40050', '\"Syba mSATA SSD to 2.5\"\" SATA Adapter\"', 'AD-SY-ADA40050', '', '', '', '', '', '', 'SSD-S4005-01', '127', '1156', '1'
'T1-BOX', 'RockMiner T1-Box 800 GH/s Bitcoin ASIC Miner', '', '', '', '', '', '', '', 'BM-RMT1B-01', '85', '20405', '1'
'T100TA-DH11T-CA', 'ASUS Transformer Book T100', '', '', '142676', '', '', 'MX48638', '', 'TAB-AT1DH-01', '191', '1145', '1'
'T5D-01575', 'Office 2013 Home And Business Edition OEM Key Only', 'SW-MS-OFF-13-H&B-E', 'SW-MS-OFFICE-2013-HB-PKC', '', '', '', 'MX43715', '', 'SOF-MOHB3-01', '127', '20391', '1'
'TEST3333', 'Some Test ASI Product', '', '', '100011', '', '', '', '', 'TEST-ASI-PRODUCT', '55', '20399', '1'
'TF701T-B1-GR', 'ASUS Transformer Pad HD 10 TF701T', '', '', '', '', '', 'MX49022', '', 'TAB-AT701-01', '191', '1037', '1'
'TL-SF1008D', 'TP-Link SF1008D 8-Port 10/100 Switch', 'NW-TL-S-SF1008D', '', '88269', '', '', 'MX33709', '', 'NSW-TSF8D-01', '85', '937', '1'
'TL-SF1008P', 'TP-Link SF1008P 8-Port 10/100 Switch w/ 4 PoE Ports', 'NW-TL-S-SF1008P', '', '88271', '', '', '', '', 'NSW-TSF8P-01', '85', '1154', '1'
'TL-SG1008D', 'TP-Link SG1008D 8-Port 10/100/1000 Switch', 'NW-TL-S-SG1008D', 'TL-SG1008D', '88284', '', '', 'MX33707', '', 'NSW-T1008-01', '85', '851', '1'
'TL-WA7510N', 'TP-Link 5GHz 150Mbps Outdoor Wireless Access Point', '', 'TL-WA7510N', '', '', '', '', '', 'NWW-TWA75-01', '85', NULL, '1'
'TL-WR720N', 'TP-Link WR720N Wireless N Router', '', '', '', '', '', '', '', 'RTR-TWR72-01', '85', '1340', '1'
'TWELVE HUNDRED', 'Antec Twelve Hundred V3 Full Tower ATX Case', 'CS-ANT-12HUNDREDV3', '', '108208', '', 'YYI2-24306P', '', '', 'CAS-ATWEL-01', '85', '1220', '1'
'UT1-Box', 'Used RockMiner T1-Box 800 GH/s Bitcoin ASIC Miner', '', '', '', '', '', '', '', 'BM-RMT1U-01', '85', NULL, '1'
'VL80001W2Z', 'Thermaltake V3 Black Edition ATX Case', 'CS-TT-VL80001W2Z', '', '', '', 'T925-3018', 'MX26765', '', 'CAS-TTV3B-01', '85', '1230', '1'
'VO545A1N2U', 'Thermaltake V2 Plus ATX Case w/ 450W PSU', 'CS-TT-VO545A1N2U', '', '', '', 'T925-3270', '', '', 'CAS-TTV2P-01', '85', '20388', '1'
'VS228H-P', '\"Asus VS228H-P 21.5\"\" Widescreen LED-LCD Monitor\"', '', '', '114189', '', '', '', '', 'MON-AVS22-01', '16', '1129', '1'
'VS2GB667D2', 'Corsair 2GB DDR2-667 VS2GB667D2', 'RM-C-VS2GB667D2', '', '', '', 'C13-7074', 'MX52091', '', 'RAM-C6672-01', '50', '1061', '1'
'WD10EZEX', 'Western Digital Blue 1TB 7200RPM SATA3', 'HD-I-WD-WD10EZEX', '', '125150', '', 'TSD-WD10EZEX', 'MX40551', '', 'HDD-W1000-04', '28', '848', '1'
'WD30EZRX', 'Western Digital Green 3TB IntelliPower SATA3', 'HD-I-WD-WD30EZRX', '', '110267', '', 'TSD-3000EZRX', 'MX34380', '', 'HDD-W3000-01', '28', '554', '1'
'WD5000AAKX', 'Western Digital Blue 500GB 7200RPM SATA3', 'HD-I-WD-WD5000AAKX', '', '', '', 'TSD-500AAKX', 'MX32264', '', 'HDD-W0500-01', '28', '555', '1'
'WH14NS40', 'LG WH14NS40 14x Blu-ray Burner', '', '', '', '', '', '', '', 'BLU-LWH14-01', '85', '1038', '1'
